BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363436,Hippocampus_zosterae,missing,Hzt_S2,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363431,Hippocampus_zosterae,missing,Hzt_16,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363430,Hippocampus_zosterae,missing,Hzt_15,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363427,Hippocampus_zosterae,missing,Hzt_12,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363425,Hippocampus_zosterae,missing,Hzt_10,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363423,Hippocampus_zosterae,missing,Hzt_8,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363422,Hippocampus_zosterae,missing,Hzt_7,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363420,Hippocampus_zosterae,missing,Hzt_5,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363418,Hippocampus_zosterae,missing,Hzt_3,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363435,Hippocampus_zosterae,missing,Hzt_S1,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363432,Hippocampus_zosterae,missing,Hzt_18,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363429,Hippocampus_zosterae,missing,Hzt_14,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363428,Hippocampus_zosterae,missing,Hzt_13,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363424,Hippocampus_zosterae,missing,Hzt_9,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363421,Hippocampus_zosterae,missing,Hzt_6,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363419,Hippocampus_zosterae,missing,Hzt_4,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363417,Hippocampus_zosterae,missing,Hzt_2,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363416,Hippocampus_zosterae,missing,Hzt_1,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363426,Hippocampus_zosterae,missing,Hzt_11,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363434,Hippocampus_zosterae,missing,Hzt_20,Tampa,NA,US,GCF_001891065.1
PRJNA612146,SAMN14363433,Hippocampus_zosterae,missing,Hzt_19,Tampa,NA,US,GCF_001891065.1
