BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR1081385	WGS	250	12739893250	SAMEA3388875	4663853804	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160975	Illumina HiSeq 2000	14544823	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388875	ERP002088	missing	ERS724961	2015-10-20	2018-11-16	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T01:00:31Z	public	ERS724961	Astatotilapia calliptera	Astatotilapia_calliptera__Itupi_-sc-2288189	ERC000011	1
PRJEB1254	ERR1081386	WGS	250	14138194250	SAMEA3388876	5117552438	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160976	Illumina HiSeq 2000	14544835	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388876	ERP002088	missing	ERS724962	2015-10-20	2018-11-16	SC	Wellcome Sanger Institute	2015-10-20T17:21:57Z	2018-03-09T01:11:30Z	public	ERS724962	Astatotilapia calliptera	Astatotilapia_calliptera__Itupi_-sc-2288190	ERC000011	1
PRJEB1254	ERR1081387	WGS	250	14231757500	SAMEA3388877	5183689997	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160977	Illumina HiSeq 2000	14544847	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388877	ERP002088	missing	ERS724963	2015-10-20	2018-11-16	SC	Wellcome Sanger Institute	2015-10-20T17:21:57Z	2018-03-09T00:43:49Z	public	ERS724963	Astatotilapia calliptera	Astatotilapia_calliptera__Itupi_-sc-2288191	ERC000011	1
PRJEB1254	ERR315227	WGS	200	5395234800	SAMEA1920092	3954739460	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX288375	Illumina HiSeq 2000	6813829	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2013-07-23T00:00:00Z	SAMEA1920092	ERP002088	missing	ERS208872	2013-07-15	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:31Z	public	ERS208872	Astatotilapia calliptera	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	NA	1
PRJEB1254	ERR315228	WGS	200	5130672800	SAMEA1920090	3769322112	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX288376	Illumina HiSeq 2000	6813841	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2013-07-23T00:00:00Z	SAMEA1920090	ERP002088	missing	ERS208873	2013-07-15	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:25Z	public	ERS208873	Astatotilapia calliptera	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	NA	1
PRJEB1254	ERR315229	WGS	200	4944000800	SAMEA1920091	3633815560	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX288377	Illumina HiSeq 2000	6813853	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2013-07-23T00:00:00Z	SAMEA1920091	ERP002088	missing	ERS208874	2013-07-15	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:32Z	public	ERS208874	Astatotilapia calliptera	Astatotilapia_calliptera__Salima___offspring_-sc-2013-01-28T12:01:11Z-1530719	NA	1
PRJEB1254	ERR715525	WGS	250	14816159250	SAMEA2661291	5590794398	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659447	Illumina HiSeq 2000	11649635	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661291	ERP002088	missing	ERS510505	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T19:53:23Z	public	ERS510505	Astatotilapia calliptera	A__calliptera_Salima_male_offspring_1-sc-2016622	ERC000011	1
PRJEB1254	ERR715527	WGS	250	13768619750	SAMEA2661293	5213327583	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659449	Illumina HiSeq 2000	11649564	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661293	ERP002088	missing	ERS510507	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T20:06:51Z	public	ERS510507	Astatotilapia calliptera	A__calliptera_Salima_male_offspring_2-sc-2016624	ERC000011	1
PRJEB1254	ERR715529	WGS	250	15685853000	SAMEA2661295	6036142543	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659451	Illumina HiSeq 2000	11649588	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661295	ERP002088	missing	ERS510509	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T19:12:37Z	public	ERS510509	Astatotilapia calliptera	A__calliptera_Salima_female_offspring-sc-2016626	ERC000011	1
PRJEB1254	ERR715530	WGS	250	14959624750	SAMEA2661381	5801922593	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659452	Illumina HiSeq 2000	11649600	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661381	ERP002088	missing	ERS510595	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T19:55:39Z	public	ERS510595	Astatotilapia calliptera	Astatotilapia_calliptera_Chitimba-sc-2016910	ERC000011	1
PRJEB1254	ERR715531	WGS	250	15623667250	SAMEA2661382	6024022610	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659453	Illumina HiSeq 2000	11649612	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661382	ERP002088	missing	ERS510596	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T18:40:52Z	public	ERS510596	Astatotilapia calliptera	Astatotilapia_calliptera_North_Rukuru-sc-2016911	ERC000011	1
PRJEB1254	ERR715532	WGS	250	17731566750	SAMEA2661383	6587526771	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659454	Illumina HiSeq 2000	11649624	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661383	ERP002088	missing	ERS510597	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T20:08:25Z	public	ERS510597	Astatotilapia calliptera	Astatotilapia_calliptera_Songwe_River-sc-2016912	ERC000011	1
PRJEB1254	ERR715534	WGS	250	17273522500	SAMEA2661385	6556915659	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659456	Illumina HiSeq 2000	11649553	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661385	ERP002088	missing	ERS510599	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T18:40:52Z	public	ERS510599	Astatotilapia calliptera	Astatotilapia_calliptera_Enukweni-sc-2016914	ERC000011	1
PRJEB1254	ERR715535	WGS	250	19462990500	SAMEA2661386	7359286799	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659457	Illumina HiSeq 2000	11649565	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661386	ERP002088	missing	ERS510600	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T20:08:25Z	public	ERS510600	Astatotilapia calliptera	Astatotilapia_calliptera_Lake_Chidya-sc-2016915	ERC000011	1
PRJEB1254	ERR715537	WGS	250	17964964000	SAMEA2661388	6777287776	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659459	Illumina HiSeq 2000	11649589	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661388	ERP002088	missing	ERS510602	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T18:40:52Z	public	ERS510602	Astatotilapia calliptera	Astatotilapia_calliptera_Upper_Rovuma-sc-2016917	ERC000011	1
PRJEB1254	ERR715538	WGS	250	20616371750	SAMEA2661389	7924771926	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659460	Illumina HiSeq 2000	11649601	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661389	ERP002088	missing	ERS510603	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T20:08:25Z	public	ERS510603	Astatotilapia calliptera	Astatotilapia_calliptera_Near_Kyela-sc-2016918	ERC000011	1
PRJEB1254	ERR715539	WGS	250	19724657750	SAMEA2661390	7637193550	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659461	Illumina HiSeq 2000	11649613	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661390	ERP002088	missing	ERS510604	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T19:55:40Z	public	ERS510604	Astatotilapia calliptera	Astatotilapia_calliptera_Luwawa-sc-2016919	ERC000011	1
PRJEB1254	ERR715540	WGS	250	21441422500	SAMEA2661391	8186059952	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659462	Illumina HiSeq 2000	11649625	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661391	ERP002088	missing	ERS510605	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T18:40:52Z	public	ERS510605	Astatotilapia calliptera	Astatotilapia_calliptera_Bua-sc-2016920	ERC000011	1
PRJEB1254	ERR303339	WGS	200	5049652400	SAMEA1920092	3579296494	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX276680	Illumina HiSeq 2000	6813829	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2013-07-07T00:00:00Z	SAMEA1920092	ERP002088	missing	ERS208872	2013-06-20	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:31Z	public	ERS208872	Astatotilapia calliptera	Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717	NA	1
PRJEB1254	ERR303340	WGS	200	4830346000	SAMEA1920090	3432617050	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX276681	Illumina HiSeq 2000	6813841	PAIRED	RANDOM	GENOMIC	Astatotilapia_calliptera	ILLUMINA	2013-07-07T00:00:00Z	SAMEA1920090	ERP002088	missing	ERS208873	2013-06-20	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:25Z	public	ERS208873	Astatotilapia calliptera	Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718	NA	1
