BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR315233	WGS	200	4584770600	SAMEA1920096	3365647443	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX288381	Illumina HiSeq 2000	6813806	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-23T00:00:00Z	SAMEA1920096	ERP002088	missing	ERS208882	2013-07-15	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:25Z	public	ERS208882	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	NA	0
PRJEB1254	ERR315234	WGS	200	5073056200	SAMEA1920097	3729105777	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX288382	Illumina HiSeq 2000	6813818	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-23T00:00:00Z	SAMEA1920097	ERP002088	missing	ERS208883	2013-07-15	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:32Z	public	ERS208883	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	NA	0
PRJEB1254	ERR315235	WGS	200	4589767400	SAMEA1920098	3374426459	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX288383	Illumina HiSeq 2000	6813830	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-23T00:00:00Z	SAMEA1920098	ERP002088	missing	ERS208884	2013-07-15	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:31Z	public	ERS208884	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	NA	0
PRJEB1254	ERR271667	WGS	200	7820320400	SAMEA1877489	5372654629	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX245894	Illumina HiSeq 2000	6526387	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-05-15T00:00:00Z	SAMEA1877489	ERP002088	missing	ERS198963	2013-05-07	2018-11-16	SC	Wellcome Sanger Institute	2013-04-29T17:02:48Z	2018-03-08T16:10:47Z	public	ERS198963	Aulonocara stuartgranti	Aulonocara_stuartgranti__maisoni_-sc-2012-12-14T14:26:39Z-1512704	NA	0
PRJEB1254	ERR266506	WGS	200	7818601000	SAMEA1877489	5346844617	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX241002	Illumina HiSeq 2000	6526387	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-05-05T00:00:00Z	SAMEA1877489	ERP002088	missing	ERS198963	2013-04-29	2018-11-16	SC	Wellcome Sanger Institute	2013-04-29T17:02:48Z	2018-03-08T16:10:47Z	public	ERS198963	Aulonocara stuartgranti	Aulonocara_stuartgranti__maisoni_-sc-2012-12-14T14:26:39Z-1512704	NA	0
PRJEB1254	ERR715526	WGS	250	14304668750	SAMEA2661292	5359660684	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659448	Illumina HiSeq 2000	11649552	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661292	ERP002088	missing	ERS510506	2015-01-08	2018-11-16	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-08T19:12:37Z	public	ERS510506	Aulonocara stuartgranti	A__stuartgranti_female_offspring_1-sc-2016623	ERC000011	0
PRJEB1254	ERR303345	WGS	200	4350677000	SAMEA1920096	3088412595	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX276686	Illumina HiSeq 2000	6813806	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-07T00:00:00Z	SAMEA1920096	ERP002088	missing	ERS208882	2013-06-20	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:25Z	public	ERS208882	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	NA	0
PRJEB1254	ERR303346	WGS	200	4806175600	SAMEA1920097	3416679353	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX276687	Illumina HiSeq 2000	6813818	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-07T00:00:00Z	SAMEA1920097	ERP002088	missing	ERS208883	2013-06-20	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:32Z	public	ERS208883	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___mother_-sc-2013-01-28T12:01:22Z-1530728	NA	0
PRJEB1254	ERR303347	WGS	200	4324736200	SAMEA1920098	3075796619	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX276688	Illumina HiSeq 2000	6813830	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-07T00:00:00Z	SAMEA1920098	ERP002088	missing	ERS208884	2013-06-20	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:31Z	public	ERS208884	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___offspring_-sc-2013-01-28T12:01:23Z-1530729	NA	0
PRJEB1254	ERR303354	WGS	200	4358238600	SAMEA1920096	3064454181	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX276695	Illumina HiSeq 2000	6813806	PAIRED	RANDOM	GENOMIC	Aulonocara_stuartgranti	ILLUMINA	2013-07-07T00:00:00Z	SAMEA1920096	ERP002088	missing	ERS208882	2013-06-20	2018-11-16	SC	Wellcome Sanger Institute	2013-06-20T17:01:55Z	2018-03-08T16:14:25Z	public	ERS208882	Aulonocara stuartgranti	Aulonocara_stuartgranti__Usisya___father_-sc-2013-01-28T12:01:21Z-1530727	NA	0
