Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Gallus gallus	chicken	breed: Red Jungle fowl, inbred line UCD001, isolate: RJF #256, sex: female	9031	Gallus_gallus-5.0	GCA_000002315.3	GenBank		Chromosome	2894815	1230241782	2015-12-16		PRJNA13342	SAMN02981218
Gallus gallus	chicken	breed: Red Jungle fowl, inbred line UCD001, isolate: RJF #256, sex: female	9031	GRCg6a	GCA_000002315.5	GenBank		Chromosome	17655422	1065348650	2018-03-27		PRJNA13342	SAMN02981218
Anolis carolinensis	green anole		28377	AnoCar2.0	GCA_000090745.2	GenBank		Chromosome	79867	1799126364	2011-01-10		PRJNA18787	SAMN02981230
Meleagris gallopavo	turkey	breed: Aviagen turkey brand Nicholas breeding stock, isolate: NT-WF06-2002-E0010, sex: female	9103	Turkey_5.1	GCA_000146605.4	GenBank		Chromosome	27076	1115457962	2019-10-21		PRJNA42129	SAMN02981253
Taeniopygia guttata	zebra finch	isolate: Black17, sex: male	59729	Taeniopygia_guttata-3.2.4	GCA_000151805.2	GenBank		Chromosome	38644	1232118738	2013-02-08		PRJNA17289	SAMN02981239
Python bivittatus	Burmese python	sex: female	176946	Python_molurus_bivittatus-5.0.2	GCA_000186305.2	GenBank		Scaffold	10658	1435034535	2013-09-15		PRJNA61243	SAMN02981298
Pelodiscus sinensis	Chinese soft-shelled turtle	isolate: Daiwa-1, sex: female	13735	PelSin_1.0	GCA_000230535.1	GenBank		Scaffold	21993	2202466388	2012-07-24		PRJNA68233	SAMN02981371
Melopsittacus undulatus	budgerigar	sex: male	13146	Melopsittacus_undulatus_6.3	GCA_000238935.1	GenBank		Scaffold	55633	1117355426	2012-01-02		PRJNA72527	SAMN02981360
Chrysemys picta bellii	western painted turtle	isolate: RCT428, sex: female	8478	Chrysemys_picta_BioNano-3.0.4	GCA_000241765.5	GenBank		Chromosome	21318	2481351664	2020-08-21		PRJNA78657	SAMN02713681
Ficedula albicollis	Collared flycatcher	isolate: OC2, sex: male	59894	FicAlb1.5	GCA_000247815.2	GenBank		Chromosome	410964	1118326800	2013-06-27		PRJNA75089	SAMN02981387
Geospiza fortis	medium ground-finch	sex: female	48883	GeoFor_1.0	GCA_000277835.1	GenBank		Scaffold	30521	1065292181	2012-07-25		PRJNA156703	SAMN00839579
Alligator mississippiensis	American alligator	isolate: KSC_2009_1	8496	ASM28112v4	GCA_000281125.4	GenBank	From INSDC submitter	Scaffold	16665	2161713562	2016-03-28	24712	PRJNA159843	SAMN02981418
Pseudopodoces humilis	Tibetan ground-tit		181119	PseHum1.0	GCA_000331425.1	GenBank		Scaffold	165265	1042980823	2013-01-11		PRJNA175930	SAMN02981490
Amazona vittata	Puerto Rican parrot	isolate: LU 182127, sex: female	241585	ASM33237v2	GCA_000332375.2	GenBank		Scaffold	29306	1446649664	2020-08-28		PRJNA171587	SAMN02981494
Columba livia	rock pigeon	breed: Danish Tumbler, sex: male	8932	Cliv_2.1	GCA_000337935.2	GenBank	From INSDC submitter	Scaffold	26627	1108534737	2017-12-13	15392	PRJNA167554	SAMN02981415
Falco peregrinus	peregrine falcon	sex: male	8954	F_peregrinus_v1.0	GCA_000337955.1	GenBank		Scaffold	28645	1171955363	2013-02-05		PRJNA159791	SAMN02981425
