Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Mchenga conophoros		strain: Otter Point	35575	ASM15085v1	GCA_000150855.1	GenBank		Scaffold	1066	73425564	2008-07-09		PRJNA29477	SAMN02743801
Labeotropheus fuelleborni	blue mbuna	strain: Domwe Island	57307	ASM15087v1	GCA_000150875.1	GenBank		Scaffold	1070	70858381	2008-07-09		PRJNA29479	SAMN02743802
Melanochromis auratus	golden mbuna	strain: Domwe Island	27751	ASM15089v1	GCA_000150895.1	GenBank		Scaffold	977	68238634	2008-07-09		PRJNA29481	SAMN02743803
Rhamphochromis esox		strain: Otter Point	163638	ASM15093v1	GCA_000150935.1	GenBank		Scaffold	1126	71295074	2008-07-09		PRJNA29485	SAMN02743805
Oryzias latipes	Japanese medaka	strain: HNI	8090	ASM15182v1	GCA_000151825.1	GenBank		Scaffold	2223	662701370	2007-04-26		PRJNA19569	SAMD00036522
Takifugu rubripes	torafugu	sex: male	31033	FUGU5	GCA_000180615.2	GenBank		Chromosome	52883	391468278	2011-10-13		PRJNA1434	SAMEA3138310
Gasterosteus aculeatus	three-spined stickleback		69293	ASM18067v1	GCA_000180675.1	GenBank		Contig	83204	446610788	2006-02-01		PRJNA13579	SAMN02981227
Tetraodon nigroviridis	spotted green pufferfish		99883	ASM18073v1	GCA_000180735.1	GenBank	From INSDC submitter	Scaffold	29054	342403326	2004-05-14	27918	PRJNA12350	SAMEA3138311
Oreochromis niloticus	Nile tilapia	isolate: 000638D3DF, sex: female	8128	Orenil1.1	GCA_000188235.2	GenBank		Chromosome	29493	927679487	2012-02-08		PRJNA59571	SAMN00117560
Gadus morhua	Atlantic cod		8049	GadMor_May2010	GCA_000231765.1	GenBank		Scaffold	2311	824311139	2011-08-26		PRJNA41391	SAMEA3138401
Maylandia zebra	zebra mbuna	ecotype: Mazinzi reef, isolate: #2_Kocher and #3_Kocher, sex: pooled male and female	106582	M_zebra_UMD2a	GCA_000238955.5	GenBank		Chromosome	1407748	957468680	2018-04-10		PRJNA60369	SAMN03892560
Pundamilia nyererei		isolate: P.nyererei 1_Seehausen, sex: female	303518	PunNye1.0	GCA_000239375.1	GenBank		Scaffold	22622	830133247	2011-12-22		PRJNA60367	SAMN00149614
Neolamprologus brichardi	lyretail cichlid	isolate: N.brichardi 1_Salsburger, sex: female	32507	NeoBri1.0	GCA_000239395.1	GenBank		Scaffold	13047	847893845	2011-12-22		PRJNA60365	SAMN00139653
Haplochromis burtoni	Burton's mouthbrooder	isolate: A. burtoni ID#24_Hofmann, sex: female	8153	AstBur1.0	GCA_000239415.1	GenBank		Scaffold	21886	831411547	2011-12-22		PRJNA60363	SAMN00139641
Xiphophorus maculatus	southern platyfish	isolate: XMAC-090115_JP163A, sex: female, strain: JP 163 A	8083	Xiphophorus_maculatus-4.4.2	GCA_000241075.1	GenBank		Scaffold	22275	729647787	2012-01-06		PRJNA72525	SAMN02981361
Oryzias latipes	Japanese medaka	strain: Hd-rR	8090	ASM31367v1	GCA_000313675.1	GenBank		Chromosome	9628	869801494	2007-05-09		PRJNA16702	SAMD00036523
Takifugu flavidus	sansaifugu		433684	version 1 of Takifugu flavidus genome	GCA_000400755.1	GenBank		Scaffold	8233	378032400	2013-05-30		PRJNA168966	SAMN01737183
Thunnus orientalis	Pacific bluefin tuna	isolate: isolate 2	8238	Thunnus_orientalis_ver_Ba_1.0	GCA_000418415.1	GenBank		Contig	8235	684497465	2013-06-27		PRJDA68701	SAMD00036584
Sebastes rubrivinctus	flag rockfish		72099	SRub1.0	GCA_000475215.1	GenBank		Scaffold	13541	756296653	2013-10-22		PRJNA62009	SAMN02981552
Sebastes nigrocinctus	tiger rockfish		72089	ASM47523v3	GCA_000475235.3	GenBank		Scaffold	13471	746044620	2016-12-20		PRJNA171384	SAMN02981553
Poecilia formosa	Amazon molly	sex: female	48698	Poecilia_formosa-5.1.2	GCA_000485575.1	GenBank		Scaffold	57472	748923461	2013-10-28		PRJNA89109	SAMN02981564
Anoplopoma fimbria	sablefish		229290	NWFSC_Afim_r7.pbjelly	GCA_000499045.2	GenBank		Scaffold	29750	784187114	2020-10-05		PRJNA656728	SAMN02144194
Cynoglossus semilaevis	tongue sole	isolate: Cse_v1.0	244447	Cse_v1.0	GCA_000523025.1	GenBank		Chromosome	27008	470182763	2014-01-28		PRJNA73987	SAMN02595200
Poecilia reticulata	guppy	sex: female, strain: Guanapo	8081	Guppy_female_1.0+MT	GCA_000633615.2	GenBank		Chromosome	41913	731605743	2014-04-28		PRJNA238429	SAMN02404645
Dicentrarchus labrax	European seabass		13489	seabass_V1.0	GCA_000689215.1	GenBank		Scaffold	54134	675917103	2014-04-09		PRJEB5099	SAMEA3271076
Stegastes partitus	bicolor damselfish	isolate: 25-593, sex: male	144197	Stegastes_partitus-1.0.2	GCA_000690725.1	GenBank		Scaffold	43010	800491834	2014-05-13		PRJNA89147	SAMN02743342
Pampus argenteus	silver pomfret	breed: wild-type, isolate: Kuwaiti	206143	PamArg1.0	GCA_000697985.1	GenBank		Scaffold	1001	350448509	2014-06-03		PRJNA240272	SAMN02699082
Cyprinodon variegatus	sheepshead minnow	isolate: N-32, sex: female	28743	C_variegatus-1.0	GCA_000732505.1	GenBank		Scaffold	20803	1035167975	2014-07-22		PRJNA89149	SAMN02736898
Notothenia coriiceps	black rockcod	isolate: Sejong01, sex: male	8208	NC01	GCA_000735185.1	GenBank		Scaffold	17487	636595335	2014-07-29		PRJNA66471	SAMN02206445
Larimichthys crocea	large yellow croaker	breed: Donghai, isolate: lyc2010zjou1, sex: female	215358	ASM74293v1	GCA_000742935.1	GenBank		Scaffold	25717	648390617	2014-08-22		PRJNA237858	SAMN02630636
