transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_031577366.1	gene-LOC105897648	993	4464	yes	641	181	5	166
rna-XM_012824660.2	gene-fkbp10	1695	10989	yes	1082	316	21	276
rna-XM_012824600.2	gene-LOC105897649	6096	28619	yes	3966	1084	60	986
rna-XM_031585632.1	gene-acly	3327	26294	yes	2172	523	65	567
rna-XM_031585696.1	gene-acly	3279	26288	no	2142	516	65	556
rna-XM_031585758.1	gene-acly	2880	20913	no	1884	452	53	491
rna-XM_012824620.2	gene-LOC105897670	1116	10262	yes	718	185	8	205
rna-XM_031585984.1	gene-LOC116224945	1107	8785	yes	687	237	12	171
rna-XM_031585917.1	gene-LOC105897651	1923	7263	yes	1209	389	22	303
rna-XM_012824639.2	gene-LOC105897686	5904	15155	yes	3907	870	36	1091
rna-XM_012824641.2	gene-LOC105897686	5880	15155	no	3891	867	35	1087
rna-XM_012824640.2	gene-LOC105897686	5898	15154	no	3903	869	36	1090
rna-XM_031586122.1	gene-LOC105897686	5904	14537	no	3907	870	36	1091
rna-XM_031586310.1	gene-LOC105897698	1260	7369	yes	814	223	23	200
rna-XM_012824656.2	gene-LOC105897698	1254	7368	no	810	222	22	200
rna-XM_031586440.1	gene-LOC105897677	1281	13262	yes	846	203	24	208
rna-XM_012824624.2	gene-LOC105897677	1254	12931	no	828	199	24	203
rna-XM_031586554.1	gene-LOC105897678	1803	6857	yes	1151	380	19	253
rna-XM_012824629.2	gene-LOC105897680	360	2397	yes	231	67	4	58
rna-XM_012824623.2	gene-LOC105897676	1308	3677	yes	825	265	14	204
rna-XM_012824627.2	gene-LOC105897679	756	2394	yes	494	134	13	115
rna-XM_031565088.1	gene-armc5	3807	6348	yes	2393	654	28	732
rna-XM_012824618.2	gene-LOC105897668	315	2474	yes	208	47	3	57
rna-XM_031565970.1	gene-LOC105897672	387	979	yes	252	50	0	85
rna-XM_031573397.1	gene-LOC105897654	1749	3695	yes	1146	322	18	263
rna-XM_031587064.1	gene-LOC105897655	1749	5467	yes	1146	324	18	261
rna-XM_031586970.1	gene-LOC105897658	1749	4485	yes	1147	322	18	262
rna-XM_031587153.1	gene-LOC105897657	1734	4537	yes	1139	316	20	259
rna-XM_031587240.1	gene-LOC105897659	1782	6252	yes	1157	336	32	257
rna-XM_031587313.1	gene-LOC105897660	933	14434	yes	596	153	22	162
rna-XM_012824652.2	gene-LOC105897695	1368	9077	yes	899	239	23	207
rna-XM_012824654.2	gene-LOC105897696	633	3656	yes	418	82	15	118
rna-XM_031587532.1	gene-LOC105897688	999	17945	yes	644	188	16	151
rna-XM_031587602.1	gene-LOC105897685	5577	19995	yes	3567	1184	71	755
rna-XM_031557878.1	gene-LOC105897685	1953	19994	no	1226	420	20	287
rna-XM_031566530.1	gene-shank1	6921	88843	yes	4450	1095	57	1319
rna-XM_031566661.1	gene-LOC105897693	492	8330	yes	326	92	3	71
rna-XM_031566939.1	gene-syt3	1590	27947	yes	1025	285	24	256
rna-XM_031567433.1	gene-LOC116220493	4032	4381	yes	2587	803	55	587
rna-XM_031558119.1	gene-med25	2346	22209	no	1555	333	26	432
rna-XM_031558148.1	gene-med25	2346	22209	no	1555	333	26	432
rna-XM_031558063.1	gene-med25	2346	22209	no	1555	333	26	432
rna-XM_031558260.1	gene-med25	2346	22209	no	1555	333	26	432
rna-XM_012824662.2	gene-med25	2346	22209	yes	1555	333	26	432
rna-XM_031558322.1	gene-med25	2274	22207	no	1504	323	26	421
rna-XM_031558412.1	gene-lrrc4b	2289	31575	yes	1474	350	33	432
rna-XM_031567855.1	gene-mybpc2	3495	30819	yes	2289	604	77	525
rna-XM_012824657.2	gene-emc10	768	6336	yes	495	129	13	131
rna-XM_012824658.2	gene-emc10	750	6121	no	479	135	13	123
rna-XM_031568054.1	gene-LOC105897663	696	10511	yes	459	124	10	103
rna-XM_031558714.1	gene-akt1s1	1083	3457	yes	690	190	10	193
rna-XM_031558759.1	gene-akt1s1	1083	3457	no	690	190	10	193
rna-XM_031558653.1	gene-tbc1d17	1911	7125	yes	1225	368	21	297
rna-XM_012824622.2	gene-LOC105897673	903	3478	yes	567	163	5	168
rna-XM_012824645.2	gene-LOC105897690	1380	6480	yes	873	332	7	168
rna-XM_031558998.1	gene-ppfia3	3684	41128	yes	2321	722	34	607
rna-XM_012824613.2	gene-LOC105897664	1416	7529	yes	899	269	11	237
rna-XM_031559164.1	gene-LOC105897665	1872	11342	yes	1201	294	49	328
rna-XM_031573479.1	gene-LOC105897666	618	2683	yes	388	124	6	100
rna-XM_031573529.1	gene-LOC105897666	615	2683	no	386	123	6	100
rna-XM_012824634.2	gene-LOC105897683	1653	7241	yes	1075	273	31	274
rna-XM_012824635.2	gene-LOC105897683	1653	6757	no	1075	273	31	274
rna-XM_031559452.1	gene-hsd17b14	804	4468	yes	523	131	14	136
rna-XM_031559367.1	gene-LOC105897681	1176	8633	yes	759	199	23	195
rna-XM_012824636.2	gene-ifi35	1128	5657	yes	725	221	20	162
rna-XM_031559617.1	gene-LOC105897667	3288	21138	no	2155	613	22	498
rna-XM_031559549.1	gene-LOC105897667	3522	21137	yes	2308	659	22	533
rna-XM_031559798.1	gene-rundc1	1740	5210	yes	1095	337	20	288
rna-XM_031559853.1	gene-rundc1	1731	5208	no	1090	334	20	287
rna-XM_012817833.2	gene-rpl27	411	2702	yes	268	76	5	62
rna-XM_031560012.1	gene-LOC105891652	1164	12143	yes	749	190	19	206
rna-XM_031560073.1	gene-LOC105891652	1113	12143	no	716	183	18	196
rna-XM_012817834.2	gene-LOC105891652	1077	12141	no	692	178	19	188
rna-XM_012817832.2	gene-rpl3	1212	4942	yes	801	206	18	187
rna-XM_031560278.1	gene-LOC105891649	1044	57422	yes	674	179	20	171
rna-XM_031568858.1	gene-LOC116220745	1599	4011	yes	1005	308	28	258
rna-XM_031569003.1	gene-LOC105891644	1668	2204	yes	1055	322	32	259
rna-XM_031560353.1	gene-LOC116218477	774	3494	yes	490	139	5	140
rna-XM_031560421.1	gene-LOC105891646	882	3510	yes	575	173	15	119
rna-XM_031573634.1	gene-LOC105893854	888	4588	yes	584	177	20	107
rna-XM_031573726.1	gene-LOC105892191	1560	1683	yes	1012	254	29	265
rna-XM_031560502.1	gene-LOC105891647	1698	5229	yes	1070	332	30	266
rna-XM_031560568.1	gene-LOC116218571	1578	15972	yes	1023	258	29	268
rna-XM_012818421.2	gene-LOC105892187	579	12532	yes	372	100	11	96
rna-XM_031560656.1	gene-LOC105892186	1212	10276	yes	787	263	24	138
rna-XM_031560883.1	gene-LOC105892185	2061	12054	yes	1327	387	22	325
