transcript	gene	cds_length	mrna_length	is_longest	f0	f2	f3	f4
rna-XM_011620148.2	gene-LOC101069025	921	3209	yes	586	174	15	146
rna-XM_029833981.1	gene-LOC101068800	3036	11759	yes	1906	562	29	539
rna-XM_029842668.1	gene-LOC115251204	579	5897	yes	374	110	9	86
rna-XM_029842802.1	gene-LOC115251231	882	1660	yes	566	164	8	144
rna-XM_029842949.1	gene-LOC115251279	957	1552	yes	603	176	10	168
rna-XM_029847951.1	gene-LOC115252584	801	6342	yes	507	139	14	141
rna-XM_029845440.1	gene-LOC115251807	510	2577	yes	325	100	2	83
rna-XM_029845443.1	gene-LOC115251807	249	2548	no	162	45	2	40
rna-XM_029845412.1	gene-LOC105419223	816	6319	yes	518	141	14	143
rna-XM_029845364.1	gene-LOC101078890	1206	3749	yes	764	217	12	213
rna-XM_011620650.2	gene-LOC101078664	1437	2646	yes	924	282	15	216
rna-XM_029845197.1	gene-noc3l	2391	7293	yes	1499	508	31	353
rna-XM_029845351.1	gene-acta2	1245	5564	yes	818	198	32	197
rna-XM_029845356.1	gene-acta2	1134	5560	no	746	183	30	175
rna-XM_029845337.1	gene-stambpl1	1290	7430	no	815	260	9	206
rna-XM_029845319.1	gene-stambpl1	1293	7428	yes	817	261	9	206
rna-XM_029845330.1	gene-stambpl1	1290	7426	no	815	261	9	205
rna-XM_029845170.1	gene-LOC101063405	3618	13130	no	2307	699	60	552
rna-XM_029845163.1	gene-LOC101063405	3621	13130	yes	2309	700	60	552
rna-XM_029845431.1	gene-ankrd22	576	2297	yes	361	114	6	95
rna-XM_029845374.1	gene-lipa	1194	9048	yes	773	210	22	189
rna-XM_029845383.1	gene-rnls	1026	6917	yes	656	169	9	192
rna-XM_029845391.1	gene-rnls	1026	6917	no	656	169	9	192
rna-XM_029845403.1	gene-rnls	1026	6917	no	656	169	9	192
rna-XM_029845396.1	gene-rnls	1026	6917	no	656	169	9	192
rna-XM_029845379.1	gene-atad1	1098	11080	yes	696	205	27	170
rna-XM_029845297.1	gene-LOC115251774	1368	7971	yes	848	278	18	224
