Organism	AssemblyName	AssemblyAccession	Annotation	Level	ContigN50	Size
Amphilophus_citrinellus	ASM1343575v1	GCA_013435755.1	NA	Chromosome	3839513	961214450
Anas_platyrhynchos	ZJU1.0	GCF_015476345.1	NCBI Annotation Release 104	Chromosome	5679408	1188516685
Anguilla_anguilla	fAngAng1.pri	GCF_013347855.1	NCBI Annotation Release 100	Chromosome	5114673	979029243
Anolis_carolinensis	AnoCar2.0	GCF_000090745.1	NCBI Annotation Release 102	Chromosome	79867	1799126364
Astatotilapia_calliptera	fAstCal1.2	GCF_900246225.1	NCBI Annotation Release 100	Chromosome	4438245	880428986
Astyanax_mexicanus	Astyanax_mexicanus-2.0	GCF_000372685.2	NCBI Annotation Release 102	Chromosome	1767240	1335239194
Athene_cunicularia	athCun1	GCF_003259725.1	NCBI Annotation Release 100	Scaffold	64091	1157069330
Bambusicola_thoracious	NA	NA	NA	NA	NA	NA
Chaenogobius_annularis	agohaze_1	GCA_015082035.1	NA	Scaffold	803221	747409675
Chloebia_gouldiae	GouldianFinch	GCA_003676055.1	From INSDC submitter	Scaffold	137954	1070785140
Clupea_harengus	Ch_v2.0.2	GCF_900700415.1	NCBI Annotation Release 101	Chromosome	1151065	725670187
Clupea_pallasii	NA	NA	NA	NA	NA	NA
Coilia_nasus	knifefish_assembly_2.0	GCA_007927625.1	NA	Chromosome	1632759	812159898
Corvus_corone_corone	NA	NA	NA	NA	NA	NA
Corvus_brachyrhynchos	ASM69197v1	GCF_000691975.1	NCBI Annotation Release 101	Scaffold	29093	1091312783
Corvus_cornix_cornix	ASM73873v5	GCF_000738735.5	NCBI Annotation Release 104	Chromosome	8553235	1030864775
Corvus_frugilegus	NA	NA	NA	NA	NA	NA
Corvus_monedula	NA	NA	NA	NA	NA	NA
Coryphaenoides_rupestris	ASM289596v1	GCA_002895965.1	NA	Scaffold	20848	829208733
Coturnix_japonica	Coturnix japonica 2.1	GCF_001577835.2	NCBI Annotation Release 101	Chromosome	511217	927640260
Cyanistes_caeruleus	cyaCae2	GCF_002901205.1	NCBI Annotation Release 100	Scaffold	105778	1186980630
Cyprinodon_variegatus	C_variegatus-1.0	GCF_000732505.1	NCBI Annotation Release 100	Scaffold	20803	1035167975
Cyprinus_carpio	common carp genome	GCF_000951615.1	NCBI Annotation Release 100	Chromosome	75080	1713641436
Dicentrarchus_labrax	seabass_V1.0	GCA_000689215.1	NA	Scaffold	54134	675917103
Egretta_garzetta	ASM68718v1	GCF_000687185.1	NCBI Annotation Release 101	Scaffold	29019	1206484573
Eopsaltria_australis	eyr_v1	GCA_003426825.1	NA	Scaffold	641411	1228344903
Falco_peregrinus	F_peregrinus_v1.0	GCF_000337955.1	NCBI Annotation Release 102	Scaffold	28645	1171955363
Ficedula_albicollis	FicAlb1.5	GCF_000247815.1	NCBI Annotation Release 101	Chromosome	410964	1118326800
Ficedula_hyperythra	NA	NA	NA	NA	NA	NA
Ficedula_hypoleuca	NA	NA	NA	NA	NA	NA
Ficedula_parva	NA	NA	NA	NA	NA	NA
Ficedula_speculigera	NA	NA	NA	NA	NA	NA
Fundulus_heteroclitus	MU-UCD_Fhet_4.1	GCF_011125445.2	NCBI Annotation Release 102	Chromosome	587965	1203489213
Gallus_varius	NA	NA	NA	NA	NA	NA
Gambusia_affinis	ASM309773v1	GCA_003097735.1	From INSDC submitter	Scaffold	17511	598663367
NA	NA	NA	NA	NA	NA	NA
Haplochromis_burtoni	AstBur1.0	GCF_000239415.1	NCBI Annotation Release 101	Scaffold	21886	831411547
Hippocampus_comes	H_comes_QL1_v1	GCF_001891065.1	NCBI Annotation Release 100	Scaffold	39546	493759415
Hippocampus_kuda	Hippocampus_kuda_assembly	GCA_901007745.1	NA	Scaffold	10411	444947940
Hypoplectrus_puella	HP_genome_unmasked_01	GCA_900610375.1	NA	Scaffold	22581	612290098
Larimichthys_crocea	L_crocea_2.0	GCF_000972845.2	NCBI Annotation Release 102	Chromosome	277487	657923191
Leuciscus_waleckii	Amur ide genome	GCA_900092035.1	NA	Scaffold	38877	752538629
Maylandia_zebra	M_zebra_UMD2a	GCF_000238955.4	NCBI Annotation Release 104	Chromosome	1407748	957468680
Nipponia_nippon	ASM70822v1	GCF_000708225.1	NCBI Annotation Release 100	Scaffold	29116	1223846297
Oreochromis_niloticus	O_niloticus_UMD_NMBU	GCF_001858045.2	NCBI Annotation Release 104	Chromosome	2923640	1005664923
Oreochromis_mossambicus	NA	NA	NA	NA	NA	NA
Oryzias_latipes	ASM223467v1	GCF_002234675.1	NCBI Annotation Release 103	Chromosome	2530934	734040372
Parus_major	Parus_major1.1	GCF_001522545.3	NCBI Annotation Release 102	Chromosome	148693	1020293992
Passer_domesticus	Passer_domesticus-1.0	GCA_001700915.1	NA	Chromosome	51426	1042703894
Passer_hispaniolensis	NA	NA	NA	NA	NA	NA
Passer_italiae	NA	NA	NA	NA	NA	NA
Passer_montanus	ASM1480565v1	GCF_014805655.1	NCBI Annotation Release 100	Scaffold	1083540	1039949367
Pelecanus_crispus	ASM68737v1	GCF_000687375.1	NCBI Annotation Release 100	Scaffold	21679	1160924693
Phylloscopus_collybita_abietinus	NA	NA	NA	NA	NA	NA
Phylloscopus_collybita_tristis	NA	NA	NA	NA	NA	NA
Phylloscopus_trochilus_acredula	ASM230583v1	GCA_002305835.1	NA	Scaffold	388702	1066518484
Phylloscopus_trochilus_trochilus	LUNI_Phtr_3	GCA_016584745.1	NA	Scaffold	81642	1168570690
Pimephales_promelas	EPA_FHM_2.0	GCF_016745375.1	NCBI Annotation Release 100	Scaffold	295770	1066412313
Plectropomus_leopardus	Pleo_1.0	GCA_011397275.1	NA	Chromosome	1139749	787600493
Podarcis_muralis	PodMur_1.0	GCF_004329235.1	NCBI Annotation Release 100	Chromosome	714612	1511002858
Poecilia_formosa	Poecilia_formosa-5.1.2	GCF_000485575.1	NCBI Annotation Release 101	Scaffold	57472	748923461
Poecilia_latipinna	P_latipinna-1.0	GCF_001443285.1	NCBI Annotation Release 100	Scaffold	33278	815144743
Poecilia_reticulata	Guppy_female_1.0+MT	GCF_000633615.1	NCBI Annotation Release 101	Chromosome	41913	731605743
Poephila_acuticauda	NA	NA	NA	NA	NA	NA
Pungitius_pungitius	NSP_V7	GCF_902500615.1	NCBI Annotation Release 100	Scaffold	2775277	466582808
Setophaga_coronata_coronata	mywa_2.1	GCA_001746935.2	NA	Chromosome	43576	1022634526
Strix_occidentalis_caurina	Soccid_v01	GCA_002372975.1	NA	Scaffold	159062	1255541132
Strix_varia_varia	NA	NA	NA	NA	NA	NA
Sylvia_atricapilla	bSylAtr1.pri	GCA_009819655.1	NA	Chromosome	7345957	1066786587
Sylvia_abyssinica	NA	NA	NA	NA	NA	NA
Sylvia_borin	bSylBor1.pri	GCA_014839755.1	NA	Chromosome	31914676	1045652180
Symphodus_melops	ASM281910v1	GCA_002819105.1	NA	Contig	461652	614569099
Taeniopygia_bichenovii	NA	NA	NA	NA	NA	NA
Taeniopygia_guttata	bTaeGut2.pat.W.v2	GCF_008822105.2	NCBI Annotation Release 105	Chromosome	4378277	1068971253
Takifugu_bimaculatus	XU_Tbim_1.0	GCA_004026145.2	From INSDC submitter	Chromosome	1312995	404311738
Takifugu_flavidus	ASM371156v2	GCA_003711565.2	From INSDC submitter	Chromosome	4357567	366286831
Takifugu_niphobles	NA	NA	NA	NA	NA	NA
Takifugu_obscurus	NA	NA	NA	NA	NA	NA
Takifugu_rubripes	fTakRub1.2	GCF_901000725.2	NCBI Annotation Release 103	Chromosome	3136617	384110215
Thunnus_albacares	ASM90030262v1	GCA_900302625.1	NA	Scaffold	16808	728212003
Tyto_alba	ASM68720v1	GCA_000687205.1	From INSDC submitter	Scaffold	17226	1120143088
Vermivora_chrysoptera	NA	NA	NA	NA	NA	NA
Vermivora_cyanoptera	NA	NA	NA	NA	NA	NA
Gasterosteus_wheatlandi	NA	NA	NA	NA	NA	NA
Gasterosteus_aculeatus	ASM18067v1	GCA_000180675.1	NA	Contig	83204	446610788
