Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Danio rerio	zebrafish	strain: Tuebingen	7955	GRCz10	GCA_000002035.3	GenBank		Chromosome	1258148	1371702787	2014-09-02		PRJNA11776	SAMN03020626
Danio rerio	zebrafish	strain: Tuebingen	7955	GRCz11	GCA_000002035.4	GenBank		Chromosome	1422317	1373454788	2017-05-09		PRJNA11776	SAMN06930106
Astyanax mexicanus	Mexican tetra	isolate: Rio Sabinas/Rio Valles surface cross, sex: female	7994	Astyanax_mexicanus-2.0	GCA_000372685.2	GenBank		Chromosome	1767240	1335239194	2017-09-25		PRJNA89115	SAMN02981523
Pimephales promelas	fathead minnow		90988	FHM_SOAPdenovo	GCA_000700825.1	GenBank		Scaffold	7468	1219326373	2014-06-10		PRJNA227290	SAMN02418978
Pimephales promelas	fathead minnow		90988	FHM_SGA	GCA_000700965.1	GenBank		Scaffold	1668	957809772	2014-06-11		PRJNA227290	SAMN02418978
Danio rerio	zebrafish	strain: Tuebingen	7955	WGS31	GCA_000767325.1	GenBank		Scaffold	24925	1411763065	2010-05-24		PRJNA11776	SAMEA3146315
Cyprinus carpio	common carp		7962	common carp genome	GCA_000951615.2	GenBank		Chromosome	75080	1713641436	2014-11-03		PRJEB7241	SAMEA2757102
Clupea harengus	Atlantic herring		7950	ASM96633v1	GCA_000966335.1	GenBank		Scaffold	22277	807695261	2015-03-30		PRJNA265919	SAMN03154066
Cyprinus carpio	common carp	isolate: UL-001, sex: female	7962	ASM127010v1	GCA_001270105.1	GenBank	From INSDC submitter	Scaffold	7872	1380095472	2015-08-18	50485	PRJNA73579	SAMN03856486
Danio rerio	zebrafish	sex: male, strain: CG2	7955	CG2v1.0	GCA_001483285.1	GenBank		Scaffold	2585	1228672559	2015-12-29		PRJNA292113	SAMN03964926
