gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div	SnIPRE.lbound	SnIPRE.ubound	SnIPRE.class	SnIPRE.est	SnIPRE.Rlbound	SnIPRE.Rubound	SnIPRE.tau	SnIPRE.theta	SnIPRE.Rclass	SnIPRE.Rest	SnIPRE.gamma	SnIPRE.f	SnIPRE.f.lb	SnIPRE.f.ub	SnIPRE.f.class
A1CF	1	4	0	3	584.1	1168.2	5	1	1	1	1	0.2	3	5	-0.34336268096399	0.0809152482393262	neut	-0.131223716362332	-3.02481597226043	-0.660385056142265	1.62909756857354	0.00189150242333855	neg	-1.84260051420135	-0.260064506245882	0.15840483456794	0.0485670564856472	0.516641760812625	neg
A4GNT	0	1	0	1	456.39	912.78	5	1	1	NA	1	0	1	1	-0.424269923614903	0.0151259313799993	neut	-0.204571996117452	-3.22606327316716	-0.512574408077103	1.97025203497114	0.0011698527849203	neg	-1.86931884062213	-0.384043098226001	0.154228453654227	0.0396957521786694	0.598949655364183	neg
AAAS	0	5	0	1	328.02	656.04	5	1	1	NA	1	0	1	5	-0.329453847409176	0.107909184190628	neut	-0.110772331609274	-3.3518033044969	-0.674953694742322	1.60424371806939	0.0020656638624482	neg	-2.01337849961961	-0.221132346272918	0.133533360410223	0.0350204210422816	0.509170688717691	neg
AACS	1	1	0	0	337.59	675.18	5	1	1	NA	1	NA	0	2	-0.381551142363719	0.0575654663407596	neut	-0.16199283801148	-2.62385677282901	-0.0113997401280854	2.17153587007935	0.00113312020867757	neg	-1.31762825647855	-0.300404506205099	0.267762719796081	0.0725220325593621	0.988651286516316	neg
AADAC	0	2	0	0	399.96	799.92	5	1	1	NA	1	NA	0	2	-0.405044000141495	0.0360372359615029	neut	-0.184503382089996	-3.18730153472686	-0.446163081094299	2.07323463311504	0.00115264205415437	neg	-1.81673230791058	-0.343952578521394	0.162555988970243	0.0413035131287711	0.640078980327821	neg
AADAT	0	1	0	2	394.35	788.7	5	1	1	NA	1	0	2	1	-0.410226425914051	0.0293252027497584	neut	-0.190450611582146	-3.28601823549054	-0.571380847944611	1.71385073459208	0.00148449690642911	neg	-1.92869954171758	-0.369326866182369	0.145335967674487	0.0374023538062839	0.564735596437886	neg
AAGAB	1	0	0	4	268.62	537.24	5	1	0.2	1	1	1	4	1	-0.361657100554108	0.0756188809916745	neut	-0.143019109781217	-2.86014367375361	-0.289941156266976	1.35097374020538	0.00229615907315619	neg	-1.57504241501029	-0.295324257728141	0.206998677779248	0.0572602576063061	0.748310945102939	neg
AAK1	2	5	3	4	1242.12	2484.24	5	1	1	-0.875	1	-0.142857142857143	7	7	-0.375235826545916	0.0254658572214683	neut	-0.174884984662224	-2.17155572146665	-0.38881011760101	1.70665121550074	0.00153458623327557	neg	-1.28018291953383	-0.340365175153145	0.277979420209522	0.113999622499938	0.677862738900572	neg
AAMDC	1	0	2	0	221.76	443.52	5	1	1	NA	1	0	2	1	-0.369056673055259	0.0666119934741377	neut	-0.151222339790561	-1.7215198416761	0.6723297541052	1.89005505263998	0.00139738330033335	neut	-0.524595043785452	-0.289109788385771	0.591792208612738	0.178803226972018	1.95877099320496	neut
AAMP	0	4	1	1	383.79	767.58	5	1	0.333333333333333	-Inf	1	-0.5	2	4	-0.349249371468652	0.0830890624689759	neut	-0.133080154499838	-2.88156607151403	-0.390198895662917	1.62358760450951	0.00188063163249467	neg	-1.63588248358847	-0.263853938772806	0.194780665756257	0.0560467432474111	0.676921990210088	neg
AARS	2	4	1	0	846.78	1693.56	5	1	0.428571428571428	-Inf	1	-0.666666666666667	1	6	-0.355460118370448	0.0605694962850416	neut	-0.147445311042703	-2.22443061678661	-0.132654104708345	2.32024958743488	0.00106760400808343	neg	-1.17854236074748	-0.270661411289943	0.307726484846391	0.108128821526552	0.875766346331643	neg
