BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Subject_ID	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR1081365	WGS	250	15278502250	SAMEA3388853	5781212393	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160955	Illumina HiSeq 2000	14544772	PAIRED	RANDOM	GENOMIC	Rhamphochromis_longiceps	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388853	ERP002088	missing	ERS724925	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T01:21:16Z	public	ERS724925	Rhamphochromis longiceps	NA	NA	Rhamphochromis_longiceps-sc-2288157	ERC000011	0
PRJEB1254	ERR1081366	WGS	250	13881727000	SAMEA3388854	5256791752	SC	public	cram,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160956	Illumina HiSeq 2000	14544784	PAIRED	RANDOM	GENOMIC	Stigmatochromis	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388854	ERP002088	missing	ERS724926	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:20Z	public	ERS724926	Stigmatochromis	NA	NA	Stigmatochromis__guttatus_-sc-2288158	ERC000011	0
PRJEB1254	ERR1081367	WGS	250	14060940500	SAMEA3388855	5426264654	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160957	Illumina HiSeq 2000	14544796	PAIRED	RANDOM	GENOMIC	Tyrannochromis_nigriventer	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388855	ERP002088	missing	ERS724934	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:23:46Z	public	ERS724934	Tyrannochromis nigriventer	NA	NA	Tyrannochromis_nigriventer-sc-2288159	ERC000011	0
PRJEB1254	ERR1081368	WGS	250	13875560750	SAMEA3388856	5172226154	SC	public	cram,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160958	Illumina HiSeq 2000	14544808	PAIRED	RANDOM	GENOMIC	Rhamphochromis_woodi	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388856	ERP002088	missing	ERS724935	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T13:24:29Z	public	ERS724935	Rhamphochromis woodi	NA	NA	Rhamphochromis_woodi-sc-2288160	ERC000011	0
PRJEB1254	ERR1081369	WGS	250	14350766500	SAMEA3388857	5177962918	SC	public	cram,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160959	Illumina HiSeq 2000	14544820	PAIRED	RANDOM	GENOMIC	Taeniochromis_holotaenia	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388857	ERP002088	missing	ERS724936	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:07Z	public	ERS724936	Taeniochromis holotaenia	NA	NA	Taeniochromis_holotaenia-sc-2288161	ERC000011	0
PRJEB1254	ERR1081370	WGS	250	14227660000	SAMEA3388858	5187828250	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160960	Illumina HiSeq 2000	14544832	PAIRED	RANDOM	GENOMIC	Taeniolethrinops	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388858	ERP002088	missing	ERS724937	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T13:24:51Z	public	ERS724937	Taeniolethrinops	NA	NA	Taeniolethrinops_macrorhynchus-sc-2288162	ERC000011	0
PRJEB1254	ERR1081371	WGS	250	14849363250	SAMEA3388859	5428296083	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160961	Illumina HiSeq 2000	14544844	PAIRED	RANDOM	GENOMIC	Dimidiochromis_kiwinge	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388859	ERP002088	missing	ERS724938	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:23Z	public	ERS724938	Dimidiochromis kiwinge	NA	NA	Dimidiochromis_kiwinge-sc-2288163	ERC000011	0
PRJEB1254	ERR1081372	WGS	250	15694814250	SAMEA3480882	5637772362	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160962	Illumina HiSeq 2000	14544856	PAIRED	RANDOM	GENOMIC	Protomelas_spilopterus	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3480882	ERP002088	missing	ERS788663	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:17Z	2018-03-09T13:26:36Z	public	ERS788663	Protomelas spilopterus	NA	NA	Hemitaeniochromis_spilopterus-sc-2288164	ERC000011	0
PRJEB1254	ERR1081373	WGS	250	14768156500	SAMEA3388860	5408362022	SC	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160963	Illumina HiSeq 2000	14544773	PAIRED	RANDOM	GENOMIC	Taeniolethrinops_praeorbitalis	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388860	ERP002088	missing	ERS724939	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:21Z	public	ERS724939	Taeniolethrinops praeorbitalis	NA	NA	Taeniolethrinops_praeorbitalis-sc-2288165	ERC000011	0
PRJEB1254	ERR1081374	WGS	250	13985316000	SAMEA3388862	5175649100	SC	public	cram,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1160964	Illumina HiSeq 2000	14544785	PAIRED	RANDOM	GENOMIC	Mylochromis_ericotaenia	ILLUMINA	2015-10-21T00:00:00Z	SAMEA3388862	ERP002088	missing	ERS724941	2015-10-20	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-10-20T13:44:16Z	2018-03-09T13:24:29Z	public	ERS724941	Mylochromis ericotaenia	NA	NA	Mylochromis_ericotaenia-sc-2288167	ERC000011	0
